series_id,detector,operator,r,r_over_m,position,a,n_interior,n_boundary,n_untouched,dS_interior_mean,dS_boundary_mean,max_before,max_after,p99_normal,false_alarm,false_alarm_before,untouched_max_abs_delta,untouched_frac_bitexact,interior_min,interior_max,interior_n_unique,inc_full_max_abs_diff,inc_full_max_abs_diff_sq,inc_full_D_at_worst,t_incremental_s,t_full_s,t_operator_s,fill_min,fill_max,cr_j,cr_dist
66,Z,Zero,13,0.5,0,4126,0,38,9935,nan,2.6747498307729813,0.36273654768927854,3.9291226358880675,0.8045214677902984,True,False,1.3930523401484152e-13,0.8701560140915954,nan,nan,0,1.3930523401484152e-13,5.417888360170764e-13,0.1865074478021361,0.005585332997725345,0.04173862499737879,7.037499744910747e-05,0.04073601280516216,0.04073601280516216,,
66,R,Zero,13,0.5,0,4126,0,38,9935,nan,0.4443037696104419,0.1151633074730429,0.7018714394498683,0.26374787319419757,True,False,1.1900203045200897e-14,0.8940110719677906,nan,nan,0,1.1900203045200897e-14,3.9968028886505635e-15,0.05599498497525983,0.0041984999988926575,0.11037783400388435,7.037499744910747e-05,0.04073601280516216,0.04073601280516216,,
66,Z,SampleMean,13,0.5,0,4126,0,38,9935,nan,2.6747498307729813,0.36273654768927854,3.9291226358880675,0.8045214677902984,True,False,1.3930523401484152e-13,0.8719677906391545,nan,nan,0,1.3930523401484152e-13,5.417888360170764e-13,0.1865074478021361,0.005691042002581526,0.041461458000412676,6.087500514695421e-05,0.04073601280516217,0.04073601280516217,,
66,R,SampleMean,13,0.5,0,4126,0,38,9935,nan,0.4443037696104419,0.1151633074730429,0.7018714394498683,0.26374787319419757,True,False,1.1900203045200897e-14,0.8977352793155511,nan,nan,0,1.1900203045200897e-14,3.9968028886505635e-15,0.05599498497525983,0.004442208002728876,0.10916595800517825,6.087500514695421e-05,0.04073601280516217,0.04073601280516217,,
66,Z,OutOfDistHigh,13,0.5,0,4126,0,38,9935,nan,2.770963563965205,0.36273654768927854,6.012183616589292,0.8045214677902984,True,False,4.4531323073471185e-12,0.817916456970307,nan,nan,0,4.4531323073471185e-12,2.2457591342117666e-12,0.22039279697012512,0.0055990830005612224,0.04075783299776958,6.804099393775687e-05,34.92041229332137,34.92041229332137,,
66,R,OutOfDistHigh,13,0.5,0,4126,0,38,9935,nan,99.13380990395055,0.1151633074730429,124.81814592454806,0.26374787319419757,True,False,6.337175229020886e-11,0.8221439355812783,nan,nan,0,6.337175229020886e-11,1.1425086571259513e-11,0.09014335679120032,0.004490999999688938,0.10875495900108945,6.804099393775687e-05,34.92041229332137,34.92041229332137,,
66,Z,Inverse,13,0.5,0,4126,0,38,9935,nan,2.8322804488365305,0.36273654768927854,4.511203085789039,0.8045214677902984,True,False,1.1360357099476914e-13,0.8618017111222949,nan,nan,0,1.982303210468217e-13,1.5015766408055242e-13,0.3786959318119388,0.0055483329997514375,0.04008850000536768,6.195800233399495e-05,0.11038323280516218,0.6045482528051621,,
66,R,Inverse,13,0.5,0,4126,0,38,9935,nan,0.6558413046944429,0.1151633074730429,1.019170587697916,0.26374787319419757,True,False,2.215588823517578e-14,0.8658278812279819,nan,nan,0,2.215588823517578e-14,1.0103029524088925e-14,0.055119540982767994,0.00439941600052407,0.10313299999688752,6.195800233399495e-05,0.11038323280516218,0.6045482528051621,,
66,Z,UniformNoise100,13,0.5,0,4126,0,38,9935,nan,3.0066873857762992,0.36273654768927854,4.389853375451132,0.8045214677902984,True,False,1.1973755320582313e-13,0.8719677906391545,nan,nan,0,2.2354340600827527e-13,2.149391775674303e-13,0.34867222845310697,0.005427208001492545,0.04013837499951478,0.000185417004104238,-0.10691339868952517,0.2174346063221076,,
66,R,UniformNoise100,13,0.5,0,4126,0,38,9935,nan,0.5100849093805003,0.1151633074730429,0.7900097340496794,0.26374787319419757,True,False,1.4307999229856705e-14,0.8839456467035732,nan,nan,0,1.4307999229856705e-14,3.9968028886505635e-15,0.046574634941036766,0.004226832999847829,0.10463924999930896,0.000185417004104238,-0.10691339868952517,0.2174346063221076,,
66,Z,LinearInterpolation,13,0.5,0,4126,0,38,9935,nan,1.243042538007211,0.36273654768927854,2.1240784514906,0.8045214677902984,True,False,1.0833001162779965e-13,0.8788122798188224,nan,nan,0,1.9834134334928422e-13,1.5587531265737198e-13,0.39294610165871735,0.0052850840002065524,0.041423292001127265,0.00035524999839253724,-0.17182004499999998,0.18283893500000004,,
66,R,LinearInterpolation,13,0.5,0,4126,0,38,9935,nan,0.23801438081446086,0.1151633074730429,0.45769351241566747,0.26374787319419757,True,False,8.153200337090993e-15,0.9028686462003019,nan,nan,0,1.199040866595169e-14,3.982925100842749e-15,0.16600606817353086,0.004113540999242105,0.10654733299452346,0.00035524999839253724,-0.17182004499999998,0.18283893500000004,,
66,Z,NearestNeighborWindow,13,0.5,0,4126,0,38,9935,nan,1.3794010230149851,0.36273654768927854,2.316568155280777,0.8045214677902984,True,False,1.3233858453531866e-13,0.8671363865123302,nan,nan,0,2.4291679778798425e-13,1.7896795156957523e-13,0.3208898742881882,0.005563667000387795,0.041746041002625134,5.6666001910343766e-05,-0.22802749,0.21239385,,
66,R,NearestNeighborWindow,13,0.5,0,4126,0,38,9935,nan,0.24033884469690425,0.1151633074730429,0.4470268763215444,0.26374787319419757,True,False,1.4072076837123859e-14,0.8905888273779567,nan,nan,0,1.4072076837123859e-14,3.733124920302089e-15,0.06309135773201782,0.004100250000192318,0.10768920899863588,5.6666001910343766e-05,-0.22802749,0.21239385,,
66,Z,ContextReconstruct,13,0.5,0,4126,0,38,9935,nan,0.006301783774113049,0.36273654768927854,0.4064235206878101,0.8045214677902984,False,False,1.5490386751082497e-13,0.8743834927025667,nan,nan,0,2.902678097882472e-13,1.616484723854228e-13,0.2685027749789982,0.005470999996759929,0.04201337500126101,0.0008566249962314032,-0.20224638,0.28406359999999997,383,0.24776253728687564
66,R,ContextReconstruct,13,0.5,0,4126,0,38,9935,nan,0.012210570787844788,0.1151633074730429,0.14529047684966187,0.26374787319419757,False,False,8.618106228652778e-15,0.9372924006039255,nan,nan,0,1.0033640585049852e-14,2.381775332516156e-15,0.11864686692957187,0.004369374997622799,0.10893599999690196,0.0008566249962314032,-0.20224638,0.28406359999999997,383,0.24776253728687564
66,Z,Zero,26,1,0,4126,1,50,9922,4.808556152023283,3.0398025741444377,0.36273654768927854,5.99616733650604,0.8045214677902984,True,False,1.3233858453531866e-13,0.8686756702277767,5.0990195135927845,5.0990195135927845,1,1.3233858453531866e-13,5.400124791776761e-13,0.2618254019104578,0.00568816700251773,0.04210574999888195,5.9916994359809905e-05,0.04073601280516216,0.04073601280516216,,
66,R,Zero,26,1,0,4126,1,50,9922,0.7352846486082691,0.49647173370407954,0.1151633074730429,0.8493458119830635,0.26374787319419757,True,False,1.4085954624931674e-14,0.8843983067929853,0.8493458119830635,0.8493458119830635,1,1.4085954624931674e-14,3.941291737419306e-15,0.06309135773198966,0.004542000002402347,0.10465658400062239,5.9916994359809905e-05,0.04073601280516216,0.04073601280516216,,
66,Z,SampleMean,26,1,0,4126,1,50,9922,4.808556152023283,3.0398025741444377,0.36273654768927854,5.99616733650604,0.8045214677902984,True,False,1.3233858453531866e-13,0.8680709534368071,5.0990195135927845,5.0990195135927845,1,1.3233858453531866e-13,5.329070518200751e-13,0.2618254019104578,0.005721458001062274,0.04164920900075231,5.333399894880131e-05,0.04073601280516217,0.04073601280516217,,
66,R,SampleMean,26,1,0,4126,1,50,9922,0.7352846486082691,0.49647173370407954,0.1151633074730429,0.8493458119830635,0.26374787319419757,True,False,1.4085954624931674e-14,0.8824833702882483,0.8493458119830635,0.8493458119830635,1,1.4085954624931674e-14,3.941291737419306e-15,0.06309135773198966,0.004464625002583489,0.11418187499657506,5.333399894880131e-05,0.04073601280516217,0.04073601280516217,,
66,Z,OutOfDistHigh,26,1,0,4126,1,50,9922,4.808556152023283,3.2086127111695415,0.36273654768927854,6.047729838902974,0.8045214677902984,True,False,5.6058768738154185e-12,0.8226164079822617,5.0990195135927845,5.0990195135927845,1,5.6058768738154185e-12,2.453592884421596e-12,0.19155016739184585,0.005743999994592741,0.04238429100223584,6.25829998170957e-05,34.92041229332137,34.92041229332137,,
66,R,OutOfDistHigh,26,1,0,4126,1,50,9922,177.3406527220442,118.68432521648698,0.1151633074730429,177.454713885419,0.26374787319419757,True,False,1.9944074863831318e-10,0.8232211247732312,177.454713885419,177.454713885419,1,1.9944074863831318e-10,2.7128525120767577e-11,0.056180649345519994,0.004681625003286172,0.11776579199795378,6.25829998170957e-05,34.92041229332137,34.92041229332137,,
66,Z,Inverse,26,1,0,4126,1,50,9922,2.5460139632450174,4.045688140421561,0.36273654768927854,5.775208264702317,0.8045214677902984,True,False,1.5437651157412802e-13,0.8604112074178593,2.836477324814519,2.836477324814519,1,1.5437651157412802e-13,9.769962616701378e-14,0.2618254019104798,0.005869874999916647,0.04113708299701102,6.587500683963299e-05,0.11038323280516218,0.6045482528051621,,
66,R,Inverse,26,1,0,4126,1,50,9922,1.1907809372896514,1.0234609668126537,0.1151633074730429,1.4820795795782065,0.26374787319419757,True,False,3.615163723935666e-14,0.8366256803063898,1.3048421006644457,1.3048421006644457,1,3.615163723935666e-14,1.021405182655144e-14,0.06754604225188562,0.004574041005980689,0.10949929199705366,6.587500683963299e-05,0.11038323280516218,0.6045482528051621,,
66,Z,UniformNoise100,26,1,0,4126,1,50,9922,6.182788465953963,3.939411994764741,0.36273654768927854,6.473251827523464,0.8045214677902984,True,False,1.5437651157412802e-13,0.8665591614593832,6.473251827523464,6.473251827523464,1,1.5437651157412802e-13,2.504663143554353e-13,0.2618254019104798,0.005503750006027985,0.04044170799897984,0.00018154200370190665,-0.1522685793703099,0.2174346063221076,,
66,R,UniformNoise100,26,1,0,4126,1,50,9922,0.8200485880219983,0.6356863247972132,0.1151633074730429,0.9623301567403436,0.26374787319419757,True,False,1.1518563880485999e-14,0.8721023987099376,0.9341097513967926,0.9341097513967926,1,1.1518563880485999e-14,3.9968028886505635e-15,0.07706407445902273,0.004281457993783988,0.1091414580005221,0.00018154200370190665,-0.1522685793703099,0.2174346063221076,,
66,Z,LinearInterpolation,26,1,0,4126,1,50,9922,2.6308666032922825,2.4548849448133128,0.36273654768927854,5.622954029724606,0.8045214677902984,True,False,1.3233858453531866e-13,0.8692803870187462,2.9213299648617843,2.9213299648617843,1,1.603162047558726e-13,8.828493491819245e-13,2.7547260026242895,0.0056817919976310804,0.04222608400596073,0.00033320800139335915,-0.19882717185185184,-0.1351324681481481,,
66,R,LinearInterpolation,26,1,0,4126,1,50,9922,1.0483217945067205,0.5970534570757973,0.1151633074730429,1.2023457693835815,0.26374787319419757,True,False,2.0108914533523148e-14,0.8560774037492441,1.1623829578815148,1.1623829578815148,1,2.0108914533523148e-14,9.992007221626409e-15,0.0662215426810773,0.004742334000184201,0.10622187500121072,0.00033320800139335915,-0.19882717185185184,-0.1351324681481481,,
66,Z,NearestNeighborWindow,26,1,0,4126,1,50,9922,0.22159256684192657,3.648566352967938,0.36273654768927854,5.959865632896038,0.8045214677902984,True,False,1.6744938768908924e-13,0.8685748840959484,0.5120559284114283,0.5120559284114283,1,1.6744938768908924e-13,1.7053025658242404e-13,0.1896257655924769,0.0055738340015523136,0.04150791699794354,5.200000305194408e-05,-0.22802749,0.319116,,
66,R,NearestNeighborWindow,26,1,0,4126,1,50,9922,-0.01556236021383052,0.6742126827157372,0.1151633074730429,1.1299703253292723,0.26374787319419757,True,False,2.445960101127298e-14,0.8402539810522072,0.09849880316096385,0.09849880316096385,1,2.445960101127298e-14,8.770761894538737e-15,0.05446994548017397,0.004698917000496294,0.10999291599728167,5.200000305194408e-05,-0.22802749,0.319116,,
66,Z,ContextReconstruct,26,1,0,4126,1,50,9922,-0.29046336156950175,0.031831346068519034,0.36273654768927854,0.4830369547789227,0.8045214677902984,False,False,1.8307577676068831e-13,0.865349727877444,0.0,0.0,1,5.259126467649367e-13,4.3298697960381105e-13,0.3787128975927429,0.005657665999024175,0.04224616599822184,0.0008438329969067127,-0.23163936000000007,0.28406359999999997,383,0.24776253728687564
66,R,ContextReconstruct,26,1,0,4126,1,50,9922,-0.030306328852272787,0.01167116416652886,0.1151633074730429,0.12185246520374095,0.26374787319419757,False,False,8.021361352916756e-15,0.9304575690385003,0.08375483452252158,0.08375483452252158,1,1.4432899320127035e-14,2.654126918244515e-15,0.08244820450992728,0.004546042000583839,0.11184658399724867,0.0008438329969067127,-0.23163936000000007,0.28406359999999997,383,0.24776253728687564
66,Z,Zero,52,2,0,4126,27,50,9896,4.8531944580498205,3.0785362594134704,0.36273654768927854,5.99616733650604,0.8045214677902984,True,False,1.3700152123874432e-13,0.8698464025869038,5.0990195135927845,5.0990195135927845,1,1.3700152123874432e-13,2.7711166694643907e-13,0.18962576559244645,0.005664415999490302,0.0415858330015908,5.212500400375575e-05,0.04073601280516216,0.04073601280516216,,
66,R,Zero,52,2,0,4126,27,50,9896,0.7723217909604371,0.5033364487437181,0.1151633074730429,0.8493458119830644,0.26374787319419757,True,False,2.3051005548779813e-14,0.8755052546483427,0.8493458119830629,0.8493458119830644,10,2.3051005548779813e-14,1.2434497875801753e-14,0.0770640744590112,0.004950957998516969,0.10897249999834457,5.212500400375575e-05,0.04073601280516216,0.04073601280516216,,
66,Z,SampleMean,52,2,0,4126,27,50,9896,4.8531944580498205,3.078536259413471,0.36273654768927854,5.99616733650604,0.8045214677902984,True,False,1.3700152123874432e-13,0.8780315278900566,5.0990195135927845,5.0990195135927845,1,1.3700152123874432e-13,2.7711166694643907e-13,0.18962576559244645,0.005913250002777204,0.04133849999925587,5.7249999372288585e-05,0.04073601280516217,0.04073601280516217,,
