num,rid,train_end,w,kind,length,L,op,n_A,n_B,n,c,t_op,t_patch,no_donor
32,0,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,11.507051250009681,False
32,0,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,6.504199700430036e-05,0.004167083010543138,False
32,0,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,5.200000305194408e-05,0.0025285410083597526,False
32,0,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.0001138340012403205,0.0025567919947206974,False
32,0,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,7.824999920558184e-05,0.0024371670006075874,False
32,0,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,9.533399133943021e-05,0.0024490000068908557,False
32,0,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,2.6374997105449438e-05,0.0029796250018989667,False
32,0,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0014810420107096434,0.0026545419968897477,False
32,0,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00020695901184808463,0.002737417002208531,False
32,0,1000,178,normal,0.25w,45,identity,222,823,7321,44,9.041992598213255e-06,0.0028305830055614933,False
32,1,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.003402625006856397,False
32,1,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,2.0457999198697507e-05,0.0028677500085905194,False
32,1,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,5.09169913129881e-05,0.003091083010076545,False
32,1,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,9.83749923761934e-05,0.003007334002177231,False
32,1,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,7.562499376945198e-05,0.0027972500101896003,False
32,1,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00019512500148266554,0.002079582991427742,False
32,1,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,4.791600804310292e-05,0.002803875002427958,False
32,1,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0009024590108310804,0.00297145800141152,False
32,1,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00040499999886378646,0.003337166999699548,False
32,1,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.7582991858944297e-05,0.003199583006789908,False
32,2,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0023077910009305924,False
32,2,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,1.5125013305805624e-05,0.0025864590134005994,False
32,2,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.608299837447703e-05,0.0029815419984515756,False
32,2,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00010433400166220963,0.0030191659898264334,False
32,2,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,4.1332998080179095e-05,0.002761249998002313,False
32,2,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00016812499961815774,0.0027094580000266433,False
32,2,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,2.8875001589767635e-05,0.0028582920058397576,False
32,2,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0009255839977413416,0.0024851670023053885,False
32,2,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00019174999033566564,0.002941792001365684,False
32,2,1000,178,normal,0.25w,45,identity,222,823,7321,44,2.0666993805207312e-05,0.003169208997860551,False
32,3,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0036233749997336417,False
32,3,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,5.795799370389432e-05,0.0026432919985381886,False
32,3,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,3.3374992199242115e-05,0.0027927080082008615,False
32,3,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00016741699073463678,0.003000291995704174,False
32,3,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,4.4375003199093044e-05,0.0032257920101983473,False
32,3,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.0002027080045081675,0.0038415829912992194,False
32,3,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,5.17089938512072e-05,0.002483000003849156,False
32,3,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0015481250011362135,0.0034345829917583615,False
32,3,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00039999998989515007,0.0031917919986881316,False
32,3,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.0832998668774962e-05,0.003463832996203564,False
32,4,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0030460839916486293,False
32,4,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.345799632370472e-05,0.002037083002505824,False
32,4,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,2.6832989533431828e-05,0.0028841669991379604,False
32,4,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00013612500333692878,0.002893833996495232,False
32,4,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,7.958299829624593e-05,0.00277875000028871,False
32,4,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00018099999579135329,0.0024872919893823564,False
32,4,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,4.837500455323607e-05,0.0027262499934295192,False
32,4,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.001199541991809383,0.0031732500065118074,False
32,4,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.00016466699889861047,0.0026357089955126867,False
32,4,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.750000228639692e-05,0.0029601249989354983,False
32,5,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.003519624995533377,False
32,5,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,2.1832995116710663e-05,0.0030709999991813675,False
32,5,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,6.487499922513962e-05,0.0032560830004513264,False
32,5,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,9.687499550636858e-05,0.002979833006975241,False
32,5,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,6.187499093357474e-05,0.002893750002840534,False
32,5,1000,178,normal,0.25w,45,B5_gaussian,222,823,7321,44,0.00013091700384393334,0.0026167500036535785,False
32,5,1000,178,normal,0.25w,45,B6_shuffle,222,823,7321,44,4.504199023358524e-05,0.0026980829861713573,False
32,5,1000,178,normal,0.25w,45,recon_test,222,823,7321,44,0.0017019999941112474,0.0029014999890932813,False
32,5,1000,178,normal,0.25w,45,recon_train,222,823,7321,44,0.0001517919881734997,0.003003040998009965,False
32,5,1000,178,normal,0.25w,45,identity,222,823,7321,44,1.8042002920992672e-05,0.003073750005569309,False
32,6,1000,178,normal,0.25w,45,(before),222,823,7321,44,0.0,0.0024084579927148297,False
32,6,1000,178,normal,0.25w,45,B1_zero,222,823,7321,44,3.137500607408583e-05,0.0026504159905016422,False
32,6,1000,178,normal,0.25w,45,B2_global_mean,222,823,7321,44,3.22499981848523e-05,0.0021400830009952188,False
32,6,1000,178,normal,0.25w,45,B3_local_mean,222,823,7321,44,0.00015454100503120571,0.0024039580021053553,False
32,6,1000,178,normal,0.25w,45,B4_linear_interp,222,823,7321,44,3.366700548212975e-05,0.002654000010807067,False
