series_id,content_group,domain,am,K,g,omega_len,gt_len,gt_shorter_than_g,chance,oracle_rma,oracle_rra,neg_mass_ratio,rma_relu,rra_relu,nrma_relu,nrra_relu,rma_abs,rra_abs,nrma_abs,nrra_abs
3,cg001,ECG,Random,14,52,715,301,False,0.42097902097902096,0.9660746230513672,0.9634551495016611,0.0,0.40708974035622186,0.3122923588039867,-0.02548044887904944,-0.2003528938149363,0.40708974035622186,0.3122923588039867,-0.02548044887904944,-0.2003528938149363
3,cg001,ECG,FeatureAblation,14,52,715,301,False,0.42097902097902096,0.9660746230513672,0.9634551495016611,0.35145653235307706,1.0,0.7508305647840532,1.0622374805807555,0.608048034672674,0.6553022471152509,0.6943521594684385,0.4298754663317391,0.5039357938826029
3,cg001,ECG,KernelSHAP,14,52,715,301,False,0.42097902097902096,0.9660746230513672,0.9634551495016611,0.2826942092682176,0.7998267266537973,0.6910299003322259,0.6950114883232811,0.4978115444243634,0.6302969977515451,0.6245847176079734,0.384002321751888,0.375326555259574
3,cg001,ECG,MPNative,14,52,715,301,False,0.42097902097902096,0.9660746230513672,0.9634551495016611,0.0,0.8975036959119543,0.7275747508305648,0.8742038518037576,0.5651782884649976,0.8975036959119543,0.7275747508305648,0.8742038518037576,0.5651782884649976
4,cg004,ECG,Random,19,20,361,201,False,0.556786703601108,0.9952736318407961,0.9950248756218906,0.0,0.4468796125211842,0.39800995024875624,-0.25065078113308287,-0.36230699078587375,0.4468796125211842,0.39800995024875624,-0.25065078113308287,-0.36230699078587375
4,cg004,ECG,FeatureAblation,19,20,361,201,False,0.556786703601108,0.9952736318407961,0.9950248756218906,0.25738759087287844,1.0,0.5870646766169154,1.0107788119891692,0.06909022296298621,0.9999999999999989,0.7512437810945274,1.0107788119891665,0.44372464542910156
4,cg004,ECG,KernelSHAP,19,20,361,201,False,0.556786703601108,0.9952736318407961,0.9950248756218906,0.05200492962685755,0.8796643843017826,0.4975124378109453,0.7363450536527316,-0.1352558256548948,0.8721140635999495,0.5024875621890548,0.7191260210759932,-0.12390326739834578
4,cg004,ECG,MPNative,19,20,361,201,False,0.556786703601108,0.9952736318407961,0.9950248756218906,0.0,1.0,0.7014925373134329,1.0107788119891692,0.3301990628636121,1.0,0.7014925373134329,1.0107788119891692,0.3301990628636121
5,cg005,Air Temperature,Random,8,6,48,2,True,0.041666666666666664,0.16666666666666666,0.0,0.0,0.03788072598956792,0.0,-0.030287525416789973,,0.03788072598956792,0.0,-0.030287525416789973,
5,cg005,Air Temperature,FeatureAblation,8,6,48,2,True,0.041666666666666664,0.16666666666666666,0.0,0.0001562397949794027,0.1479284785467718,0.5,0.8500944950408411,,0.14790536623161205,0.5,0.8499095965195631,
5,cg005,Air Temperature,KernelSHAP,8,6,48,2,True,0.041666666666666664,0.16666666666666666,0.0,0.27625158549366424,0.11454244332089297,0.0,0.5830062132338105,,0.08289991174717812,0.0,0.3298659606440916,
