num,name,variant,domain_goswami,is_medical,content_group,name_group,fit_on,max_features,seed,n_fit,window,n_estimators,n,train_end,start0,stop0,max_anom,thr_b0,thr_bw,n_normal_b0,n_normal_bw,p1_b0,p1_bw,argmax0,p2_archive,p2_brief,fit_s,score_s,score_file
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,train_prefix,1,0,35000,100,200,80001,35000,56599,56900,-0.030667956189643186,0.1055961524683517,0.10566175526530518,44700,44500,False,False,71217,False,False,1.7106,0.3082,results/gate1/scores/002_train_prefix_mf1_seed0.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,train_prefix,1,1,35000,100,200,80001,35000,56599,56900,-0.042058795152977946,0.10426452182008646,0.10437262239760917,44700,44500,False,False,71215,False,False,0.4271,0.3173,results/gate1/scores/002_train_prefix_mf1_seed1.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,train_prefix,1,2,35000,100,200,80001,35000,56599,56900,-0.03910417138923716,0.09827407288558218,0.09844191394937149,44700,44500,False,False,71216,False,False,0.4228,0.3152,results/gate1/scores/002_train_prefix_mf1_seed2.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,train_prefix,1.0,0,35000,100,200,80001,35000,56599,56900,-0.021805711222821378,0.11270733153550835,0.11282526818153425,44700,44500,False,False,69834,False,False,0.3457,0.2888,results/gate1/scores/002_train_prefix_mf1.0_seed0.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,train_prefix,1.0,1,35000,100,200,80001,35000,56599,56900,-0.006880180016254178,0.1202549044056413,0.1212264074667534,44700,44500,False,False,69852,False,False,0.3423,0.3062,results/gate1/scores/002_train_prefix_mf1.0_seed1.npy
2,DISTORTED2sddb40,DISTORTED,ECG,True,cg001,2sddb40,train_prefix,1.0,2,35000,100,200,80001,35000,56599,56900,-0.016861652587524922,0.11792751397584009,0.11818310695930617,44700,44500,False,False,69838,False,False,0.336,0.3142,results/gate1/scores/002_train_prefix_mf1.0_seed2.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,full,1,0,80000,100,200,80000,35000,46599,46900,0.015184083654913139,0.1072248211549774,0.10733140450971293,44699,44499,False,False,71238,False,False,0.9116,0.3174,results/gate1/scores/003_full_mf1_seed0.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,full,1,1,80000,100,200,80000,35000,46599,46900,0.024861024127238618,0.10429060325502516,0.10434790007426815,44699,44499,False,False,71215,False,False,0.8846,0.307,results/gate1/scores/003_full_mf1_seed1.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,full,1,2,80000,100,200,80000,35000,46599,46900,0.023651225744113547,0.10276917421066059,0.10289516561690662,44699,44499,False,False,71211,False,False,0.8969,0.3629,results/gate1/scores/003_full_mf1_seed2.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,full,1.0,0,80000,100,200,80000,35000,46599,46900,0.040198523060511915,0.11626553768679701,0.1163666084292811,44699,44499,False,False,69836,False,False,0.9015,0.3104,results/gate1/scores/003_full_mf1.0_seed0.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,full,1.0,1,80000,100,200,80000,35000,46599,46900,0.02450644247382211,0.11784000048838722,0.11808216741544209,44699,44499,False,False,69836,False,False,0.8681,0.3338,results/gate1/scores/003_full_mf1.0_seed1.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,full,1.0,2,80000,100,200,80000,35000,46599,46900,0.03754049529701381,0.11952771360951532,0.12026224218920345,44699,44499,False,False,69835,False,False,0.9098,0.2865,results/gate1/scores/003_full_mf1.0_seed2.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,train_prefix,1,0,35000,100,200,80000,35000,46599,46900,0.01240340746436086,0.10401250738491338,0.10426002909312211,44699,44499,False,False,71249,False,False,1.7399,0.3215,results/gate1/scores/003_train_prefix_mf1_seed0.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,train_prefix,1,1,35000,100,200,80000,35000,46599,46900,0.02221283589256029,0.10216385507308944,0.10235386912913767,44699,44499,False,False,71216,False,False,0.4147,0.3148,results/gate1/scores/003_train_prefix_mf1_seed1.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,train_prefix,1,2,35000,100,200,80000,35000,46599,46900,0.013808107062660835,0.09948938526553722,0.09970470907348383,44699,44499,False,False,71238,False,False,0.4324,0.3217,results/gate1/scores/003_train_prefix_mf1_seed2.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,train_prefix,1.0,0,35000,100,200,80000,35000,46599,46900,0.03518713054532563,0.10932225430637985,0.10958190237469367,44699,44499,False,False,69833,False,False,0.3605,0.2883,results/gate1/scores/003_train_prefix_mf1.0_seed0.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,train_prefix,1.0,1,35000,100,200,80000,35000,46599,46900,0.01530169606552284,0.11589612765506374,0.11639746169488796,44699,44499,False,False,69851,False,False,0.3788,0.2883,results/gate1/scores/003_train_prefix_mf1.0_seed1.npy
3,DISTORTED3sddb40,DISTORTED,ECG,True,cg001,3sddb40,train_prefix,1.0,2,35000,100,200,80000,35000,46599,46900,0.029648099558462593,0.1127102286917279,0.11293273377190947,44699,44499,False,False,69633,False,False,0.3621,0.3085,results/gate1/scores/003_train_prefix_mf1.0_seed2.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,full,1,0,11000,100,200,11000,2500,5399,5600,0.019823806945654554,0.024848549128837782,0.024328582490552638,8299,8099,False,False,4206,False,False,0.2052,0.0526,results/gate1/scores/004_full_mf1_seed0.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,full,1,1,11000,100,200,11000,2500,5399,5600,0.014144346689978549,0.02230234405891439,0.022317140185743524,8299,8099,False,False,4144,False,False,0.2124,0.0513,results/gate1/scores/004_full_mf1_seed1.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,full,1,2,11000,100,200,11000,2500,5399,5600,0.021320295097141284,0.021335270408685433,0.021404817532620277,8299,8099,False,False,4161,False,False,0.2062,0.0532,results/gate1/scores/004_full_mf1_seed2.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,full,1.0,0,11000,100,200,11000,2500,5399,5600,0.1048465509543346,0.03553195897807731,0.03348165886596347,8299,8099,True,True,5556,True,True,0.1672,0.0351,results/gate1/scores/004_full_mf1.0_seed0.npy
4,DISTORTEDBIDMC1,DISTORTED,ECG,True,cg004,BIDMC1,full,1.0,1,11000,100,200,11000,2500,5399,5600,0.08898837531566839,0.032422395738706936,0.027423160533061628,8299,8099,True,True,5557,True,True,0.1727,0.0349,results/gate1/scores/004_full_mf1.0_seed1.npy
