file,distorted,length,train_end,anomaly_ratio,detector_hit,detector_dist,trivial_hit,trivial_dist,AUROC,verdict,train_contaminated
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,True,8184,4000,0.0030547409579667643,False,604,False,600,0.6905217600384708,impossible,False
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,True,8184,4000,0.0030547409579667643,False,1728,False,1440,0.3928155806684299,impossible,False
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt,True,8184,4000,0.005987292277614858,False,762,False,756,0.7636255953409175,impossible,False
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,True,8184,4000,0.005987292277614858,False,904,False,903,0.5489524467586309,impossible,False
023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,True,12000,5000,0.00875,False,3234,False,914,0.8173804344072655,impossible,False
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,True,7601,1700,0.0224970398631759,False,968,False,1348,0.5290642254268597,impossible,False
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,True,7500,3000,0.0014666666666666667,False,214,False,882,0.893618744810547,impossible,False
039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.txt,True,29950,5000,0.001035058430717863,False,4325,True,0,0.8885123283308889,impossible,False
040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt,True,30066,6000,0.004357081088272467,False,10859,False,9838,0.4637713144856378,impossible,False
042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420.txt,True,29859,7000,0.007736360896212198,False,4755,False,14731,0.4112720553855431,impossible,False
045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717.txt,True,29931,14000,0.012061073803080418,False,9144,False,1568,0.22919155204713945,impossible,False
